title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,media_avaliacao
Heard In Data Science Interviews: Over 650 Most Commonly Asked Interview Questions & Answers,[Kal Mishra],37.99,240,3.2,52,0.37,0.07,0.2,0.13,0.23,CreateSpace Independent Publishing Platform (October 3 2018),0.214666666666667
DATA ANALYTICS: A Comprehensive Beginnerâ€™s Guide To Learn About The Realms Of Data Analytics From A-Z,[Mr Benjamin Smith],19.99,153,4.2,37,0.59,0.15,0.2,0.06,0,Independently published (April 26 2020),0.284666666666667
Introduction to Data Science: Data Analysis and Prediction Algorithms with R (Chapman & Hall/CRC Data Science Series),,77.28,713,4.8,34,0.86,0.07,0.05,0.02,0,Chapman and Hall/CRC,0.318
Introduction to Machine Learning with R: Rigorous Mathematical Analysis,[Scott V. Burger],49.99,226,4.1,21,0.59,0.09,0.19,0.07,0.07,OReilly Media,0.272666666666667
PYTHON FOR DATA SCIENCE: The Ultimate Beginnersâ€™ Guide to Learning Python Data Science Step Step,[Mr Ethan Williams],19.99,199,4.3,68,0.62,0.19,0.08,0.06,0.05,Independently published (August 18 2019),0.284666666666667
97 Things About Ethics Everyone in Data Science Should Know: Collective Wisdom from the Experts,[Bill Franks],30.99,346,4.1,18,0.63,0.13,0.08,0.08,0.08,OReilly Media,0.276666666666667
Data Science for Marketing Analytics: A practical guide to forming a killer marketing strategy through data analysis with Python 2nd Edition,"[Mirza Rahim Baig,Gururajan Govindan et al.]",36.99,636,4.6,51,0.61,0.34,0.05,0,0,Packt Publishing,0.304
Video Data Analysis: How to Use 21st Century Video in the Social Sciences,"[Anne Nassauer,Nicolas M. Legewie]",45,320,5,1,1,0,0,0,0,SAGE Publications Ltd,0.333333333333333
The Beginners Guide to Data Science,"[Robert Ball,Brian Rague]",69.99,382,,0,0,0,0,0,0,Springer,0
Hands-On Data Science with R: Techniques to perform data manipulation and mining to build smart analytical models using R,"[Vitor Bianchi Lanzetta,Nataraj Dasgupta et al.]",39.99,420,4.1,5,0.37,0.4,0.23,0,0,Packt Publishing (November 30 2018),0.276
The Data Science Handbook: Advice and Insights from 25 Amazing Data Scientists,"[Carl Shan,William Chen et al.]",24.99,346,4.4,55,0.71,0.11,0.1,0.07,0.01,Data Science Bookshelf The (June 19 2015),0.296
Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python,"[Hariom Tatsat,Sahil Puri et al.]",44.49,432,4.3,51,0.66,0.16,0.07,0.04,0.07,OReilly Media,0.286666666666667
Practical Python Data Wrangling and Data Quality: Getting Started with Reading Cleaning and Analyzing Data,[Susan McGregor],31.99,,3.5,2,0.5,0.5,0,0,0,OReilly Media,0.3
Cracking the Data Science Interview: 101+ Data Science Questions & Solutions,[Maverick Lin],11.99,119,3.7,48,0.44,0.2,0.17,0.03,0.16,Independently published (December 17 2019),0.248666666666667
SQL for Data Scientists: A Beginners Guide for Building Datasets for Analysis,[Renee M. P. Teate],32.49,288,4.7,54,0.75,0.2,0.04,0,0,Wiley,0.311333333333333
MLOps Engineering at Scale,[Carl Osipov],44.49,344,4.2,3,0.62,0.38,0,0,0,Manning (March 1 2022),0.308
The Data Science Design Manual (Texts in Computer Science),,52.05,462,4.8,63,0.86,0.09,0.03,0.02,0,Springer,0.319333333333333
Big Data: A Very Short Introduction (Very Short Introductions),[Dawn E. Holmes],11.07,144,4.4,72,0.67,0.16,0.09,0.07,0.02,Oxford University Press,0.294666666666667
